"Rank","Role","Company","Compensation","Location","YearsRequired","Composite","Recruiter","Interview","DegreeScore","SkillScore","ExperienceScore","PrefPenalties","FitScore","FitCategory","FileName","PostingDate"
"18","data-domain-modeling-associate-jpmorganchase","JPMorgan Chase","$104,500","Jersey City","3 years","66","60","40","1","1","0.5","0","0.75","Moderate match","20260619_194158_data-domain-modeling-associate-jpmorganchase.md","Unknown"
"19","Associate Specialist, Software Engineering","Merck & Co., Inc. (Merck Sharp & Dohme LLC)","$71,900 - $113,200","Rahway, NJ (Hybrid, USA)","1-3","64","70","50","0.2","1","0.8","0","1","Strong match","20260619_215614_assoc-spclst-software-engineering-merck.md","2026-06-18"
"20","analyst-senior-analyst-product-growth-gtm-strategy-salesforce","Salesforce","$99","Seattle","2 years","63","55","35","1","1","0.5","0","0.75","Moderate match for Analyst; Weak match for Senior Analyst.","20260617_221433_analyst-senior-analyst-product-growth-gtm-strategy-salesforce.md","Unknown"
"21","Project - Data Engineer (Project Delivery) - Data & Analytics Foundry","Deloitte","$57,300 - $95,500 (range estimate)","Multiple (46 locations across US; detailed list included)","1+ years","60","50","50","1","0.5","1","0","0.5","Unknown","20260625_075540_project-data-engineer-deloitte.md","2026-06-25"
"22","Software Engineer, Memberships","Twitch Interactive, Inc. (Amazon)","San Francisco: $127,100 - $185,000; Seattle: $110,500 - $160,000 (ranges provided)","San Francisco, CA; Seattle, WA","1+ (non-internship professional experience)","60","50","50","1","0.5","1","0","0.5","Unknown","20260624_165352_software-engineer-memberships-twitch.md","2026-06-24"
"23","AI/Cyber Analytics Engineer — Cyber Analytics and AI Innovation (team)","Visa","$123,000 - $190,900 annually (+ bonus/equity/benefits)","Ashburn, VA; Foster City, CA (hybrid)","2+ (minimum) — preferred 3+ years","60","50","50","1","0.5","1","0","0.5","Unknown","20260624_162315_visa-cyber-analytics-ai-innovation.md","2026-06-24"
"24","Data Science I — SCOT Forecasting & Lab","Amazon.com Services LLC","$108,300 - $160,000 USD annually (+ sign-on, RSUs, bonus, benefits)","Bellevue, WA, United States","2+ years (preferred 3+)","60","50","50","1","0.5","1","0","0.5","Unknown","20260624_164451_data-scientist-i-scot-forecasting-lab-amazon.md","2026-06-24"
"25","Backend Engineer (Monetization Engineering)","Pinterest","$120,753 - $211,318 USD per year","Seattle, WA (Hybrid; 1x per week in-office)","1+ years","60","50","50","1","0.5","1","0","0.5","Unknown","20260625_125426_backend-engineer-monetization-pinterest.md","Unknown (JD provided without explicit posting date)"
"26","Agentic AI Engineer II - Cyber Analytics","American Express (Amex)","$89,250 - $150,250 annually + bonus + benefits","Phoenix, AZ; New York, NY (hybrid)","Mid (approx. 3-7 years)","59","50","50","1","0.5","0.8","0","0.5","Unknown","20260624_155437_agentic-ai-engineer-ii-cyber-analytics-amex.md","2026-06-22"
"27","Robotics - Software Development Engineer (SDE I)","Amazon.com Services LLC","$110,500 - $160,000 USD annually (+ sign-on, RSUs, benefits)","Multiple (North Reading, Westborough, Austin, Arlington, Bellevue, Seattle)","Entry-level (SDE I) — typical 0-2 years","59","50","50","1","0.5","0.8","0","0.5","Unknown","20260624_170630_robotics-software-development-engineer-amazon.md","2026-06-24"
"28","Acceleration Center - Agentic AI and Machine Learning Developer - Experienced Associate","PwC","$61,000 - $100,000 (range per JD)","New York, NY; Dallas, TX; Tampa, FL; Chicago, IL; Philadelphia, PA; Phoenix, AZ; Florham Park, NJ","Associate level (varies) — typical 1-5 years","59","50","50","1","0.5","0.8","0","0.5","Unknown","20260624_172301_acceleration-center-agentic-ai-and-machine-learning-developer-experienced-associate-pwc.md","2026-06-24"
"29","Managed Services - Data Engineer - Senior Associate","PwC","$77,000 - $202,000 (varies by location/level)","Multiple (42 locations across US; detailed list included)","At least 2 years","58","50","50","1","0.5","0.5","0","0.5","Unknown","20260624_171046_managed-services-data-engineer-senior-associate-pwc.md","2026-06-24"
"30","Managed Services - Data Engineer (Databricks & Kafka) - Senior Associate","PwC","$77,000 - $202,000 (location-dependent)","Multiple (34 locations across US; detailed list provided)","10 years (Senior Associate level)","58","50","50","1","0.5","0.5","0","0.5","Unknown","20260624_171840_managed-services-data-engineer-databricks-kafka-pwc.md","2026-06-24"
"31","Delivery Excellence - Tech Enablement - Developer - Senior Associate","PwC","$77,000 - $202,000 (location-dependent)","Multiple (NY, Miami, Los Angeles, Tampa, Atlanta, Chicago, Washington DC, Boston, Dallas, San Diego, San Francisco, Silicon Valley, Philadelphia, Seattle)","At least 2 years","58","50","50","1","0.5","0.5","0","0.5","Unknown","20260624_172941_delivery-excellence-tech-enablement-developer-pwc.md","2026-06-24"
"32","Data Scientist and Application Developer (Innovative Medicine, R&D Digital)","Johnson & Johnson","$98,000 - $157,550 USD per year","Titusville, NJ (Hybrid work; also posted for Italy - R-082162)","Not explicitly stated; entry-to-mid level inferred","58","50","50","1","0.5","0.5","0","0.5","Unknown","20260625_125040_data-scientist-application-developer-jnj.md","2026-06-11"
"33","Software Engineer for Automation Engineering (Multiple Positions)","Siemens Corporation","$137,088 - $184,926 per year (Princeton, NJ)","Princeton, NJ (Hybrid/Remote per company policy)","3 years (Software/Automation Engineering)","58","50","50","1","0.5","0.5","0","0.5","Unknown","20260625_102957_software-engineer-automation-engineering-siemens.md","2026-06-02"
"34","associate-engineer-bristol-myers-squibb","Bristol Myers Squibb","$81","NYC","2 years","50","80","60","1","1","0.5","30","1","Strong match (contingent on compensation resolution)","20260617_210933_associate-engineer-bristol-myers-squibb.md","Unknown"
"35","associate-technology-vendor-management","American Express","$78","New York","5 years","42","30","10","1","0.75","0.5","0","0.4","Weak match (domain mismatch)","20260617_201554_associate-technology-vendor-management.md","Unknown"
"36","ai-ml-product-marketing-associate-jpmorganchase","JPMorgan Chase","$80,750","New York","2 years","38","20","10","1","0.75","0.5","0","0.4","Weak match","20260619_193944_ai-ml-product-marketing-associate-jpmorganchase.md","Unknown"
"37","software-engineer-i-sparta-systems","Sparta Systems","$76,800","NYC","2 years","22","40","20","1","1","0.5","30","0.4","Weak match","20260617_204217_software-engineer-i-sparta-systems.md","Unknown"
